Epoch 0  Global error  0.25347  -- Allow Network To Recognize All Rotations
Epoch 1  Global error  0.24021  -- Allow Network To Recognize All Rotations
Epoch 2  Global error  0.21757  -- Allow Network To Recognize All Rotations
Epoch 3  Global error  0.18680  -- Allow Network To Recognize All Rotations
Epoch 4  Global error  0.15955  -- Allow Network To Recognize All Rotations
Epoch 5  Global error  0.14060  -- Allow Network To Recognize All Rotations
Epoch 6  Global error  0.12794  -- Allow Network To Recognize All Rotations
Epoch 7  Global error  0.11931  -- Allow Network To Recognize All Rotations
Epoch 8  Global error  0.11323  -- Allow Network To Recognize All Rotations
Epoch 9  Global error  0.10876  -- Allow Network To Recognize All Rotations
Epoch 10  Global error  0.10539  -- Allow Network To Recognize All Rotations
Epoch 11  Global error  0.10279  -- Allow Network To Recognize All Rotations
Epoch 12  Global error  0.10071  -- Allow Network To Recognize All Rotations
Epoch 13  Global error  0.09902  -- Allow Network To Recognize All Rotations
Epoch 14  Global error  0.09760  -- Allow Network To Recognize All Rotations
Epoch 15  Global error  0.09638  -- Allow Network To Recognize All Rotations
Epoch 16  Global error  0.09530  -- Allow Network To Recognize All Rotations
Epoch 17  Global error  0.09434  -- Allow Network To Recognize All Rotations
Epoch 18  Global error  0.09340  -- Allow Network To Recognize All Rotations
Epoch 19  Global error  0.09240  -- Allow Network To Recognize All Rotations
Epoch 20  Global error  0.09139  -- Allow Network To Recognize All Rotations
Epoch 21  Global error  0.09038  -- Allow Network To Recognize All Rotations
Epoch 22  Global error  0.08937  -- Allow Network To Recognize All Rotations
Epoch 23  Global error  0.08834  -- Allow Network To Recognize All Rotations
Epoch 24  Global error  0.08727  -- Allow Network To Recognize All Rotations
Epoch 25  Global error  0.08618  -- Allow Network To Recognize All Rotations
Epoch 26  Global error  0.08510  -- Allow Network To Recognize All Rotations
Epoch 27  Global error  0.08403  -- Allow Network To Recognize All Rotations
Epoch 28  Global error  0.08298  -- Allow Network To Recognize All Rotations
Epoch 29  Global error  0.08196  -- Allow Network To Recognize All Rotations
Epoch 30  Global error  0.08096  -- Allow Network To Recognize All Rotations
Epoch 31  Global error  0.07997  -- Allow Network To Recognize All Rotations
Epoch 32  Global error  0.07898  -- Allow Network To Recognize All Rotations
Epoch 33  Global error  0.07799  -- Allow Network To Recognize All Rotations
Epoch 34  Global error  0.07700  -- Allow Network To Recognize All Rotations
Epoch 35  Global error  0.07603  -- Allow Network To Recognize All Rotations
Epoch 36  Global error  0.07507  -- Allow Network To Recognize All Rotations
Epoch 37  Global error  0.01724
Epoch 38  Global error  0.01694
Epoch 39  Global error  0.01668
Epoch 40  Global error  0.01645
Epoch 41  Global error  0.01625
Epoch 42  Global error  0.01607
Epoch 43  Global error  0.01592
Epoch 44  Global error  0.01579
Epoch 45  Global error  0.01568
Epoch 46  Global error  0.01559
Epoch 47  Global error  0.01550
Epoch 48  Global error  0.01541
Epoch 49  Global error  0.01533
Epoch 50  Global error  0.01526
Epoch 51  Global error  0.01520
Epoch 52  Global error  0.01514
Epoch 53  Global error  0.01507
Epoch 54  Global error  0.01501
Epoch 55  Global error  0.01495
Epoch 56  Global error  0.01489
Epoch 57  Global error  0.01483
Epoch 58  Global error  0.01477
Epoch 59  Global error  0.01472
Epoch 60  Global error  0.01467
Epoch 61  Global error  0.01462
Epoch 62  Global error  0.01457
Epoch 63  Global error  0.01452
Epoch 64  Global error  0.01448
Epoch 65  Global error  0.01443
Epoch 66  Global error  0.01439
Epoch 67  Global error  0.01435
Epoch 68  Global error  0.01431
Epoch 69  Global error  0.01427
Epoch 70  Global error  0.01423
Epoch 71  Global error  0.01419
Epoch 72  Global error  0.01415
Epoch 73  Global error  0.01411
Epoch 74  Global error  0.01407
Epoch 75  Global error  0.01404
Epoch 76  Global error  0.01400
Epoch 77  Global error  0.01397
Epoch 78  Global error  0.01395
Epoch 79  Global error  0.01391
Epoch 80  Global error  0.01391
Epoch 81  Global error  0.01385
Epoch 82  Global error  0.01386
Epoch 83  Global error  0.01381
Epoch 84  Global error  0.01378
Epoch 85  Global error  0.01376
Epoch 86  Global error  0.01373
Epoch 87  Global error  0.01368
Epoch 88  Global error  0.01365
Epoch 89  Global error  0.01362
Epoch 90  Global error  0.01359
Epoch 91  Global error  0.01356
Epoch 92  Global error  0.01353
Epoch 93  Global error  0.01351
Epoch 94  Global error  0.01349
Epoch 95  Global error  0.01346
Epoch 96  Global error  0.01343
Epoch 97  Global error  0.01340
Epoch 98  Global error  0.01337
Epoch 99  Global error  0.01335
Epoch 100  Global error  0.01332
Epoch 101  Global error  0.01331
Epoch 102  Global error  0.01329
Epoch 103  Global error  0.01328
Epoch 104  Global error  0.01327
Epoch 105  Global error  0.01326
Epoch 106  Global error  0.01321
Epoch 107  Global error  0.01320
Epoch 108  Global error  0.01316
Epoch 109  Global error  0.01313
Epoch 110  Global error  0.01311
Epoch 111  Global error  0.01309
Epoch 112  Global error  0.01306
Epoch 113  Global error  0.01304
Epoch 114  Global error  0.01303
