Iteration 1, loss = 4.96863150
Iteration 2, loss = 4.60944461
Iteration 3, loss = 4.16779231
Iteration 4, loss = 3.28066193
Iteration 5, loss = 2.04737411
Iteration 6, loss = 1.44180092
Iteration 7, loss = 1.17075464
Iteration 8, loss = 0.97383579
Iteration 9, loss = 0.81802938
Iteration 10, loss = 0.68634746
Iteration 11, loss = 0.57434955
Iteration 12, loss = 0.48568679
Iteration 13, loss = 0.41233039
Iteration 14, loss = 0.35243996
Iteration 15, loss = 0.30536652
Iteration 16, loss = 0.26722858
Iteration 17, loss = 0.23659541
Iteration 18, loss = 0.21219888
Iteration 19, loss = 0.19243295
Iteration 20, loss = 0.17602093
Iteration 21, loss = 0.16008486
Iteration 22, loss = 0.14614625
Iteration 23, loss = 0.13444621
Iteration 24, loss = 0.12484514
Iteration 25, loss = 0.11628402
Iteration 26, loss = 0.10753349
Iteration 27, loss = 0.09942780
Iteration 28, loss = 0.09216269
Iteration 29, loss = 0.08601483
Iteration 30, loss = 0.08040260
Iteration 31, loss = 0.07517284
Iteration 32, loss = 0.07059792
Iteration 33, loss = 0.06616387
Iteration 34, loss = 0.06234324
Iteration 35, loss = 0.05889848
Iteration 36, loss = 0.05549619
Iteration 37, loss = 0.05236620
Iteration 38, loss = 0.04979321
Iteration 39, loss = 0.04676143
Iteration 40, loss = 0.04398026
Iteration 41, loss = 0.04179691
Iteration 42, loss = 0.03961145
Iteration 43, loss = 0.03728342
Iteration 44, loss = 0.03520869
Iteration 45, loss = 0.03353116
Iteration 46, loss = 0.03176181
Iteration 47, loss = 0.03005939
Iteration 48, loss = 0.02848359
Iteration 49, loss = 0.02721272
Iteration 50, loss = 0.02580488
Iteration 51, loss = 0.02455198
Iteration 52, loss = 0.02330045
Iteration 53, loss = 0.02219859
Iteration 54, loss = 0.02124463
Iteration 55, loss = 0.02027207
Iteration 56, loss = 0.01937486
Iteration 57, loss = 0.01834067
Iteration 58, loss = 0.01755382
Iteration 59, loss = 0.01671932
Iteration 60, loss = 0.01590362
Iteration 61, loss = 0.01521446
Iteration 62, loss = 0.01450664
Iteration 63, loss = 0.01375445
Iteration 64, loss = 0.01313316
Iteration 65, loss = 0.01261690
Iteration 66, loss = 0.01208246
Iteration 67, loss = 0.01150023
Iteration 68, loss = 0.01104253
Iteration 69, loss = 0.01054527
Iteration 70, loss = 0.00999832
Iteration 71, loss = 0.00954998
Iteration 72, loss = 0.00906176
Iteration 73, loss = 0.00867520
Iteration 74, loss = 0.00833728
Iteration 75, loss = 0.00794952
Iteration 76, loss = 0.00768190
Iteration 77, loss = 0.00732898
