Iteration 1, loss = 4.96921577
Iteration 2, loss = 4.61057464
Iteration 3, loss = 4.17396684
Iteration 4, loss = 3.28325092
Iteration 5, loss = 2.04620111
Iteration 6, loss = 1.44694168
Iteration 7, loss = 1.19831244
Iteration 8, loss = 1.02357707
Iteration 9, loss = 0.87089557
Iteration 10, loss = 0.72441377
Iteration 11, loss = 0.60373192
Iteration 12, loss = 0.50571607
Iteration 13, loss = 0.42362524
Iteration 14, loss = 0.35936592
Iteration 15, loss = 0.30878715
Iteration 16, loss = 0.26727017
Iteration 17, loss = 0.23541991
Iteration 18, loss = 0.21006959
Iteration 19, loss = 0.19004345
Iteration 20, loss = 0.17268696
Iteration 21, loss = 0.15666945
Iteration 22, loss = 0.14319142
Iteration 23, loss = 0.13092129
Iteration 24, loss = 0.12098948
Iteration 25, loss = 0.11227289
Iteration 26, loss = 0.10459886
Iteration 27, loss = 0.09752060
Iteration 28, loss = 0.09069143
Iteration 29, loss = 0.08474044
Iteration 30, loss = 0.07990429
Iteration 31, loss = 0.07537041
Iteration 32, loss = 0.07122559
Iteration 33, loss = 0.06729603
Iteration 34, loss = 0.06387165
Iteration 35, loss = 0.06072530
Iteration 36, loss = 0.05771733
Iteration 37, loss = 0.05501038
Iteration 38, loss = 0.05210903
Iteration 39, loss = 0.04973827
Iteration 40, loss = 0.04729461
Iteration 41, loss = 0.04515566
Iteration 42, loss = 0.04315611
Iteration 43, loss = 0.04118011
Iteration 44, loss = 0.03934401
Iteration 45, loss = 0.03753406
Iteration 46, loss = 0.03602805
Iteration 47, loss = 0.03452328
Iteration 48, loss = 0.03291724
Iteration 49, loss = 0.03167299
Iteration 50, loss = 0.03025751
Iteration 51, loss = 0.02904071
Iteration 52, loss = 0.02810203
Iteration 53, loss = 0.02684250
Iteration 54, loss = 0.02585457
Iteration 55, loss = 0.02454306
Iteration 56, loss = 0.02353799
Iteration 57, loss = 0.02274876
Iteration 58, loss = 0.02184973
Iteration 59, loss = 0.02104770
Iteration 60, loss = 0.02004310
Iteration 61, loss = 0.01936070
Iteration 62, loss = 0.01857618
Iteration 63, loss = 0.01772920
Iteration 64, loss = 0.01707564
Iteration 65, loss = 0.01649332
Iteration 66, loss = 0.01609716
Iteration 67, loss = 0.01524071
Iteration 68, loss = 0.01460350
Iteration 69, loss = 0.01410969
Iteration 70, loss = 0.01351891
Iteration 71, loss = 0.01305879
Iteration 72, loss = 0.01262930
Iteration 73, loss = 0.01209754
Iteration 74, loss = 0.01163776
Iteration 75, loss = 0.01125971
Iteration 76, loss = 0.01073485
Iteration 77, loss = 0.01033025
Iteration 78, loss = 0.00996001
Iteration 79, loss = 0.00959637
Iteration 80, loss = 0.00928006
Iteration 81, loss = 0.00891475
Iteration 82, loss = 0.00858820
Iteration 83, loss = 0.00829637
Iteration 84, loss = 0.00801224
Iteration 85, loss = 0.00771573
Iteration 86, loss = 0.00745179
Iteration 87, loss = 0.00724686
Iteration 88, loss = 0.00694259
Iteration 89, loss = 0.00669878
Iteration 90, loss = 0.00643836
Iteration 91, loss = 0.00618155
Iteration 92, loss = 0.00597493
Iteration 93, loss = 0.00577588
Iteration 94, loss = 0.00561449
Iteration 95, loss = 0.00535555
Iteration 96, loss = 0.00519563
Iteration 97, loss = 0.00500663
Iteration 98, loss = 0.00481937
Iteration 99, loss = 0.00467449
Iteration 100, loss = 0.00448991
Iteration 101, loss = 0.00433364
Iteration 102, loss = 0.00420590
Iteration 103, loss = 0.00404103
Iteration 104, loss = 0.00391207
Iteration 105, loss = 0.00378993
Iteration 106, loss = 0.00363006
Iteration 107, loss = 0.00351084
Iteration 108, loss = 0.00338542
Iteration 109, loss = 0.00327521
Iteration 110, loss = 0.00314224
Iteration 111, loss = 0.00304949
Iteration 112, loss = 0.00296040
Iteration 113, loss = 0.00286301
Iteration 114, loss = 0.00275094
Iteration 115, loss = 0.00265417
Iteration 116, loss = 0.00258672
Iteration 117, loss = 0.00248605
Iteration 118, loss = 0.00241930
Iteration 119, loss = 0.00233352
Iteration 120, loss = 0.00226175
Iteration 121, loss = 0.00219661
Iteration 122, loss = 0.00212553
Iteration 123, loss = 0.00205680
Iteration 124, loss = 0.00199269
Iteration 125, loss = 0.00192847
Iteration 126, loss = 0.00187219
Iteration 127, loss = 0.00180969
Iteration 128, loss = 0.00176975
Iteration 129, loss = 0.00171756
Iteration 130, loss = 0.00166015
Iteration 131, loss = 0.00161066
Iteration 132, loss = 0.00156701
Iteration 133, loss = 0.00152528
Iteration 134, loss = 0.00148021
Iteration 135, loss = 0.00144381
Iteration 136, loss = 0.00140039
Iteration 137, loss = 0.00135710
Iteration 138, loss = 0.00132426
Iteration 139, loss = 0.00128232
Iteration 140, loss = 0.00125829
Iteration 141, loss = 0.00121744
Iteration 142, loss = 0.00118812
Iteration 143, loss = 0.00115948
Iteration 144, loss = 0.00112484
Iteration 145, loss = 0.00109660
Iteration 146, loss = 0.00106347
Iteration 147, loss = 0.00103803
Iteration 148, loss = 0.00101033
Iteration 149, loss = 0.00098661
Iteration 150, loss = 0.00096144
Iteration 151, loss = 0.00093895
Iteration 152, loss = 0.00090967
Iteration 153, loss = 0.00088648
Iteration 154, loss = 0.00086674
Iteration 155, loss = 0.00084664
Iteration 156, loss = 0.00082493
Iteration 157, loss = 0.00080544
Iteration 158, loss = 0.00078381
Iteration 159, loss = 0.00076508
Iteration 160, loss = 0.00074763
Iteration 161, loss = 0.00073026
Iteration 162, loss = 0.00071136
Iteration 163, loss = 0.00069260
Iteration 164, loss = 0.00067711
Iteration 165, loss = 0.00066091
Iteration 166, loss = 0.00064472
Iteration 167, loss = 0.00063108
Iteration 168, loss = 0.00061430
Iteration 169, loss = 0.00059991
Iteration 170, loss = 0.00058726
Iteration 171, loss = 0.00057601
Iteration 172, loss = 0.00055915
Iteration 173, loss = 0.00054673
Iteration 174, loss = 0.00053721
Iteration 175, loss = 0.00053266
Iteration 176, loss = 0.00051209
Iteration 177, loss = 0.00049841
Iteration 178, loss = 0.00048796
